ReqCPUS,ReqNodes,ReqMem,Timelimit,Submit,Start
2,1,257000M,15-00:00:00,2026-04-14T14:25:35,Unknown
1,1,257000M,90-00:00:00,2026-06-29T10:01:50,Unknown
1,1,257000M,90-00:00:00,2026-06-29T10:02:44,Unknown
1,1,257000M,14-00:00:00,2026-07-03T11:27:05,2026-07-03T11:27:08
1,1,257000M,6-23:00:00,2026-07-08T14:29:40,2026-07-08T14:29:41
1,1,257000M,6-23:00:00,2026-07-08T14:29:40,2026-07-08T14:29:41
1,1,257000M,6-23:00:00,2026-07-08T14:29:40,2026-07-08T14:29:41
1,1,257000M,6-23:00:00,2026-07-08T14:29:40,2026-07-08T14:29:41
1,1,257000M,6-23:00:00,2026-07-08T14:38:27,2026-07-08T14:47:54
1,1,257000M,6-23:00:00,2026-07-08T14:38:27,2026-07-08T14:50:31
1,1,257000M,6-23:00:00,2026-07-09T09:06:27,2026-07-09T09:06:29
1,1,257000M,6-23:00:00,2026-07-09T09:06:27,2026-07-09T09:06:29
1,1,257000M,6-23:00:00,2026-07-09T09:06:27,2026-07-09T09:06:29
1,1,257000M,6-23:00:00,2026-07-09T09:06:27,2026-07-09T09:06:29
1,1,257000M,6-23:00:00,2026-07-09T09:06:27,2026-07-09T09:06:29
1,1,257000M,6-23:00:00,2026-07-09T09:06:27,2026-07-09T09:06:29
1,1,257000M,10-00:00:00,2026-07-09T15:08:46,2026-07-09T15:08:49
1,1,257000M,10-00:00:00,2026-07-09T15:09:12,2026-07-09T15:09:12
1,1,257000M,10-00:00:00,2026-07-09T15:14:35,2026-07-09T15:14:35
1,1,257000M,10-00:00:00,2026-07-09T15:15:11,2026-07-09T15:15:11
1,1,257000M,10-00:00:00,2026-07-09T15:17:24,2026-07-09T15:17:24
1,1,257000M,10-00:00:00,2026-07-09T15:18:41,2026-07-09T15:18:41
1,1,257000M,14-00:00:00,2026-07-09T16:24:24,2026-07-09T16:26:19
1,1,257000M,14-00:00:00,2026-07-09T16:24:25,2026-07-09T16:27:22
1,1,257000M,14-00:00:00,2026-07-09T16:24:26,2026-07-09T16:29:54
1,1,257000M,14-00:00:00,2026-07-09T16:24:27,2026-07-09T17:10:49
1,1,257000M,14-00:00:00,2026-07-09T16:24:27,2026-07-09T17:16:42
1,1,257000M,14-00:00:00,2026-07-09T16:24:28,2026-07-09T19:07:14
1,1,257000M,14-00:00:00,2026-07-09T22:34:41,2026-07-09T22:34:41
1,1,257000M,14-00:00:00,2026-07-09T22:34:42,2026-07-09T22:34:44
1,1,257000M,14-00:00:00,2026-07-09T22:34:42,2026-07-09T22:34:44
1,1,257000M,14-00:00:00,2026-07-09T22:34:43,2026-07-09T22:34:44
1,1,257000M,14-00:00:00,2026-07-09T22:34:44,2026-07-09T22:34:47
1,1,257000M,14-00:00:00,2026-07-09T22:34:44,2026-07-09T22:44:29
1,1,257000M,14-00:00:00,2026-07-09T22:34:45,2026-07-09T22:46:55
1,1,257000M,14-00:00:00,2026-07-09T22:34:45,2026-07-09T23:11:31
1,1,257000M,14-00:00:00,2026-07-09T22:34:46,2026-07-09T23:11:34
